State,Year,Quater,Reg_user,Device_brand,Device_count
odisha,2018,2,2185781,Xiaomi,607315
odisha,2018,3,2795718,Xiaomi,790969
odisha,2018,4,3623911,Xiaomi,1029813
odisha,2019,1,4320744,Xiaomi,1230535
odisha,2019,2,4845359,Xiaomi,1391200
odisha,2019,3,5387209,Xiaomi,1558315
odisha,2019,4,6115537,Xiaomi,1777383
odisha,2020,1,6652970,Xiaomi,1927219
odisha,2020,2,7258315,Xiaomi,2091828
odisha,2020,3,7901755,Xiaomi,2262871
odisha,2020,4,8598751,Xiaomi,2445630
odisha,2021,1,9233009,Xiaomi,2614110
odisha,2021,2,9891029,Xiaomi,2776465
odisha,2021,3,10652490,Xiaomi,2958185
odisha,2021,4,11399235,Xiaomi,3105043
odisha,2022,1,12124779,Xiaomi,3238439
odisha,2022,2,12801990,Xiaomi,3238439
odisha,2022,3,13493282,Xiaomi,3238439
odisha,2022,4,14127239,Xiaomi,3238439
puducherry,2018,1,49318,Xiaomi,11605
puducherry,2018,2,65580,Xiaomi,15839
puducherry,2018,3,81546,Xiaomi,19571
puducherry,2018,4,109494,Xiaomi,26240
puducherry,2019,1,133059,Xiaomi,31724
puducherry,2019,2,156458,Xiaomi,36841
puducherry,2019,3,177868,Xiaomi,41523
puducherry,2019,4,204292,Xiaomi,47168
puducherry,2020,1,230908,Xiaomi,52862
puducherry,2020,2,255600,Xiaomi,58140
puducherry,2020,3,285173,Xiaomi,64189
puducherry,2020,4,319626,Xiaomi,71555
puducherry,2021,1,346279,Xiaomi,77315
puducherry,2021,2,369961,Xiaomi,83067
puducherry,2021,3,396609,Xiaomi,89382
puducherry,2021,4,423167,Xiaomi,95031
puducherry,2022,1,448051,Xiaomi,100081
puducherry,2022,2,471663,Xiaomi,100081
puducherry,2022,3,496570,Xiaomi,100081
puducherry,2022,4,520649,Xiaomi,100081
punjab,2018,1,847142,Xiaomi,209390
punjab,2018,2,1152190,Xiaomi,288756
punjab,2018,3,1473148,Xiaomi,370526
